,Primary_Offence,Occurrence_Month,Occurrence_DayOfWeek,Occurrence_Hour,Report_Month,Report_DayOfWeek,Division,City,NeighbourhoodName,Location_Type,Premises_Type,Bike_Make,Bike_Model,Bike_Type,Bike_Speed,Bike_Colour,Cost_of_Bike,Status,Report_Lag
0,THEFT,October,Tuesday,14,October,Tuesday,22,1,Kingsway South (15),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GI,KNOWN,OT,7,BLK,700.0,0,0
1,THEFT,November,Wednesday,3,November,Wednesday,22,1,Kingsway South (15),"Single Home, House (Attach Garage, Cottage, Mobile)",House,UNKNOWN,UNKNOWN,TO,1,BLK,1100.0,1,0
2,THEFT,September,Friday,9,September,Monday,22,1,Kingsway South (15),Public Transit Hub,Transit,OT,KNOWN,MT,24,BLK,904.0,0,3
3,THEFT,May,Thursday,18,May,Thursday,22,1,Kingsway South (15),Public Transit Hub,Transit,GT,UNKNOWN,TO,10,Other,400.0,0,7
4,THEFT,May,Saturday,12,May,Saturday,22,1,Kingsway South (15),Public Transit Hub,Transit,GI,UNKNOWN,MT,6,RED,600.0,0,0
5,THEFT,September,Tuesday,0,October,Thursday,22,1,Kingsway South (15),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Other,KNOWN,RC,18,Other,100.0,0,58
6,THEFT,February,Thursday,9,February,Thursday,22,1,Kingsway South (15),Public Transit Hub,Transit,NO,KNOWN,MT,18,WHI,0.0,0,0
7,THEFT,May,Wednesday,13,May,Monday,22,1,Kingsway South (15),Public Transit Hub,Transit,Other,UNKNOWN,OT,7,BLK,800.0,0,5
8,THEFT,September,Wednesday,8,September,Wednesday,22,1,Kingsway South (15),Public Transit Hub,Transit,UK,UNKNOWN,RG,20,BLK,700.0,0,0
9,THEFT,May,Wednesday,18,May,Wednesday,22,1,Kingsway South (15),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,UK,KNOWN,MT,24,ONG,550.0,0,0
10,B&E,June,Saturday,12,June,Monday,22,1,Kingsway South (15),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,RC,16,BLU,600.0,0,2
11,THEFT,July,Thursday,9,July,Monday,22,1,Kingsway South (15),"Open Areas (Lakes, Parks, Rivers)",Outside,GI,UNKNOWN,RC,50,BLK,829.0,0,4
12,THEFT,October,Friday,13,October,Monday,22,1,Kingsway South (15),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Other,KNOWN,MT,27,BLK,690.0,0,3
13,B&E,November,Wednesday,1,November,Wednesday,22,1,Kingsway South (15),"Private Property Structure (Pool, Shed, Detached Garage)",Other,Other,KNOWN,MT,18,BLU,1000.0,0,0
14,B&E,November,Wednesday,1,November,Wednesday,22,1,Kingsway South (15),"Private Property Structure (Pool, Shed, Detached Garage)",Other,Other,UNKNOWN,MT,18,Other,1000.0,0,0
15,THEFT,November,Friday,8,November,Friday,22,1,Kingsway South (15),Public Transit Hub,Transit,RA,UNKNOWN,MT,24,Other,1100.0,1,0
16,B&E,August,Monday,20,August,Monday,22,1,Kingsway South (15),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,MT,21,Other,500.0,0,0
17,B&E,August,Monday,20,August,Monday,22,1,Kingsway South (15),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,MT,21,Other,500.0,0,0
18,B&E,July,Friday,19,July,Saturday,22,1,Islington-City Centre West (14),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,MT,18,GRY,1200.0,0,1
19,THEFT,August,Tuesday,14,August,Tuesday,22,1,Kingsway South (15),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,UK,UNKNOWN,MT,70,BLK,115.0,0,0
20,THEFT,September,Wednesday,8,September,Wednesday,22,1,Kingsway South (15),Public Transit Hub,Transit,UK,UNKNOWN,RG,20,BLK,700.0,0,0
21,THEFT,July,Friday,10,July,Saturday,22,1,Kingsway South (15),Public Transit Hub,Transit,RA,UNKNOWN,MT,18,GRY,200.0,0,1
22,THEFT,August,Saturday,14,August,Sunday,22,1,Kingsway South (15),Public Transit Hub,Other,OT,KNOWN,OT,24,SIL,600.0,0,1
23,THEFT,May,Thursday,10,May,Tuesday,22,1,Kingsway South (15),Non-Commerical/Public Areas,Educational,OT,KNOWN,RG,8,GRY,600.0,0,5
24,THEFT,July,Thursday,8,July,Monday,22,1,Kingsway South (15),Public Transit Hub,Transit,RALEIGH,UNKNOWN,RG,3,GRN,400.0,0,4
25,THEFT,January,Tuesday,11,January,Monday,22,1,Stonegate-Queensway (16),"Apartment (Rooming House, Condo)",Apartment,GF,UNKNOWN,MT,3,YEL,600.0,0,13
26,THEFT,February,Thursday,18,February,Monday,22,1,Stonegate-Queensway (16),Commericial / Corporate Areas,Commercial,Other,KNOWN,OT,18,BLK,1600.0,0,4
27,THEFT,September,Saturday,23,September,Sunday,22,1,Stonegate-Queensway (16),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,KNOWN,BM,1,GRY,250.0,0,1
28,THEFT,September,Tuesday,3,September,Tuesday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,RA,KNOWN,RG,20,GRY,600.0,0,0
29,THEFT,October,Friday,0,October,Friday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,OT,21,Other,886.0,0,0
30,THEFT,November,Saturday,22,December,Thursday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,CC,UNKNOWN,MT,18,BLU,400.0,0,47
31,B&E,March,Thursday,17,March,Saturday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,KNOWN,MT,12,GRY,950.0,0,2
32,THEFT,May,Wednesday,9,May,Wednesday,22,1,Stonegate-Queensway (16),Non-Commerical/Public Areas,Educational,GIANT,KNOWN,BM,1,Other,380.0,0,0
33,THEFT,June,Thursday,3,June,Thursday,22,1,Stonegate-Queensway (16),"Apartment (Rooming House, Condo)",Apartment,UNKNOWN,UNKNOWN,RG,10,Unknown Colour,1000.0,0,0
34,THEFT,July,Thursday,13,July,Thursday,22,1,Stonegate-Queensway (16),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Other,KNOWN,OT,1,RED,903.0,0,0
35,THEFT,September,Sunday,20,September,Friday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,UNKNOWN,TO,10,Other,0.0,0,12
36,THEFT,September,Sunday,20,September,Friday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,UNKNOWN,OT,10,Other,0.0,0,12
37,THEFT,May,Monday,23,May,Tuesday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,UNKNOWN,OT,21,BLK,879.0,0,1
38,THEFT,July,Friday,22,July,Sunday,22,1,Stonegate-Queensway (16),Bar / Restaurant,Commercial,CA,KNOWN,MT,18,BLU,632.0,0,2
39,THEFT,August,Monday,23,August,Tuesday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,UNKNOWN,MT,21,BLK,459.0,0,1
40,THEFT,August,Saturday,13,August,Saturday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,GI,KNOWN,MT,32,BLK,300.0,0,0
41,THEFT,September,Tuesday,20,November,Thursday,22,1,Stonegate-Queensway (16),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Other,KNOWN,MT,21,Other,400.0,0,44
42,THEFT,July,Thursday,2,July,Thursday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,GIANT,KNOWN,OT,10,BLK,687.0,0,0
43,THEFT,August,Friday,10,August,Tuesday,22,1,Stonegate-Queensway (16),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GT,KNOWN,MT,21,BLK,600.0,0,4
44,B&E,August,Sunday,13,August,Monday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,MT,5,Other,200.0,0,1
45,B&E,August,Sunday,13,August,Monday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,KNOWN,MT,5,Other,829.0,0,1
46,THEFT,August,Thursday,21,August,Tuesday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,RALEIGH,UNKNOWN,MT,3,BLK,300.0,0,5
47,THEFT,April,Thursday,10,April,Friday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,CCM,UNKNOWN,MT,10,BLU,200.0,0,8
48,THEFT,July,Thursday,15,July,Thursday,22,1,Stonegate-Queensway (16),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GT,KNOWN,MT,25,WHI,500.0,0,0
49,THEFT,July,Saturday,21,July,Saturday,22,1,Stonegate-Queensway (16),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Other,KNOWN,MT,15,GRY,950.0,0,0
50,THEFT,July,Tuesday,17,July,Tuesday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,UK,UNKNOWN,RG,21,Other,500.0,0,0
51,THEFT,July,Tuesday,17,July,Tuesday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,GT,UNKNOWN,RG,21,GRY,440.0,0,0
52,THEFT,July,Sunday,13,July,Sunday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,OT,0,Other,150.0,0,0
53,THEFT,July,Friday,16,July,Tuesday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,UK,KNOWN,RC,10,BLK,1500.0,0,4
54,THEFT,July,Thursday,19,July,Wednesday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,Other,UNKNOWN,OT,10,Other,200.0,0,6
55,THEFT,July,Thursday,19,July,Wednesday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,Other,KNOWN,OT,21,RED,450.0,0,6
56,PROPERTY,July,Monday,20,July,Monday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,MT,99,PLE,950.0,0,0
57,THEFT,May,Tuesday,14,May,Tuesday,22,1,Stonegate-Queensway (16),Non-Commerical/Public Areas,Educational,CA,KNOWN,MT,24,Unknown Colour,1400.0,0,0
58,THEFT,July,Wednesday,16,July,Wednesday,31,1,Stonegate-Queensway (16),Non-Commerical/Public Areas,Educational,TR,KNOWN,MT,21,RED,530.0,0,0
59,THEFT,August,Monday,18,August,Monday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,OT,0,BLK,40.0,0,7
60,THEFT,September,Thursday,10,September,Thursday,22,1,Stonegate-Queensway (16),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Other,KNOWN,SC,0,BLU,1000.0,0,0
61,THEFT,October,Sunday,18,October,Monday,22,1,Stonegate-Queensway (16),"Apartment (Rooming House, Condo)",Apartment,KO,UNKNOWN,OT,20,BLK,1000.0,0,1
62,THEFT,April,Friday,19,April,Monday,22,1,Stonegate-Queensway (16),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Other,KNOWN,EL,1,WHI,1000.0,0,3
63,THEFT,April,Friday,19,April,Monday,22,1,Stonegate-Queensway (16),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Other,UNKNOWN,EL,1,GRN,1457.0,0,3
64,THEFT,May,Thursday,16,May,Saturday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,NORCO,KNOWN,OT,21,BLK,950.0,0,2
65,THEFT,August,Sunday,12,September,Tuesday,22,1,Stonegate-Queensway (16),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Other,KNOWN,RG,21,WHI,950.0,0,2
66,THEFT,April,Tuesday,10,May,Tuesday,22,1,Stonegate-Queensway (16),"Apartment (Rooming House, Condo)",Apartment,UK,KNOWN,MT,1,BLK,500.0,0,28
67,THEFT,September,Monday,17,September,Monday,22,1,Stonegate-Queensway (16),Commericial / Corporate Areas,Commercial,GI,KNOWN,BM,1,BLU,350.0,0,0
68,THEFT,September,Friday,14,September,Friday,22,1,Stonegate-Queensway (16),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,GI,KNOWN,MT,15,Other,500.0,0,0
69,THEFT,October,Tuesday,15,October,Tuesday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,UNKNOWN,UNKNOWN,MT,24,BLK,1400.0,0,0
70,B&E,December,Monday,0,January,Thursday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,Other,KNOWN,RG,18,Unknown Colour,900.0,0,17
71,THEFT,November,Thursday,0,November,Thursday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,SC,UNKNOWN,RG,15,PLE,350.0,0,0
72,MISCHIEF,August,Tuesday,0,September,Tuesday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,KNOWN,OT,9,GRY,1200.0,0,7
73,THEFT,July,Thursday,17,July,Friday,22,1,Stonegate-Queensway (16),"Apartment (Rooming House, Condo)",Apartment,UNKNOWN,UNKNOWN,MT,18,Unknown Colour,299.0,0,1
74,THEFT,May,Friday,23,May,Friday,22,1,Stonegate-Queensway (16),Bar / Restaurant,Commercial,OT,UNKNOWN,MT,24,GRY,400.0,0,0
75,THEFT,June,Wednesday,8,June,Wednesday,22,1,Stonegate-Queensway (16),Non-Commerical/Public Areas,Educational,OT,UNKNOWN,MT,27,BLK,1500.0,0,0
76,THEFT,August,Wednesday,7,August,Wednesday,22,1,Stonegate-Queensway (16),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,TR,KNOWN,OT,24,BLK,700.0,0,0
77,THEFT,June,Wednesday,21,June,Friday,22,1,Stonegate-Queensway (16),"Apartment (Rooming House, Condo)",Apartment,UK,KNOWN,TO,8,BLK,1000.0,0,2
78,B&E,October,Friday,22,October,Saturday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,Other,KNOWN,TO,21,Other,950.0,0,1
79,THEFT,May,Tuesday,15,May,Wednesday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,NORCO,KNOWN,OT,30,Other,1500.0,0,22
80,THEFT,July,Monday,15,July,Monday,22,1,Stonegate-Queensway (16),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Other,KNOWN,MT,24,DBL,500.0,0,0
81,B&E,July,Tuesday,18,July,Tuesday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,MT,21,Other,500.0,0,0
82,B&E,July,Tuesday,18,July,Tuesday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,GT,KNOWN,MT,21,SIL,450.0,0,0
83,THEFT,July,Sunday,21,July,Monday,22,1,Stonegate-Queensway (16),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OT,KNOWN,RG,24,WHI,450.0,0,1
84,THEFT,July,Monday,16,July,Saturday,22,1,Stonegate-Queensway (16),Commericial / Corporate Areas,Commercial,UNKNOWN,UNKNOWN,MT,27,Unknown Colour,100.0,0,5
85,THEFT,July,Saturday,23,July,Sunday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,NO,KNOWN,MT,6,BLK,700.0,0,1
86,THEFT,September,Sunday,14,November,Friday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,Other,KNOWN,MT,21,GRY,500.0,0,61
87,THEFT,November,Sunday,12,December,Thursday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,NO,KNOWN,MT,1,RED,250.0,0,4
88,B&E,October,Friday,19,October,Saturday,22,1,Stonegate-Queensway (16),"Single Home, House (Attach Garage, Cottage, Mobile)",House,CCM,UNKNOWN,MT,10,GRN,150.0,0,1
89,THEFT,August,Monday,7,August,Monday,22,1,Stonegate-Queensway (16),"Private Property Structure (Pool, Shed, Detached Garage)",Other,TR,KNOWN,MT,27,BLK,1500.0,0,0
90,THEFT,July,Tuesday,10,July,Wednesday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,OT,KNOWN,MT,21,RED,700.0,0,1
91,THEFT,August,Friday,19,August,Sunday,22,1,Islington-City Centre West (14),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Other,KNOWN,MT,0,Unknown Colour,950.0,1,2
92,THEFT,August,Friday,19,August,Sunday,22,1,Islington-City Centre West (14),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,CCM,KNOWN,MT,0,RED,499.0,0,2
93,THEFT,August,Tuesday,13,August,Wednesday,22,1,Islington-City Centre West (14),Commericial / Corporate Areas,Commercial,GT,UNKNOWN,RG,20,BLK,500.0,0,8
94,B&E,January,Tuesday,7,January,Tuesday,22,1,Islington-City Centre West (14),"Single Home, House (Attach Garage, Cottage, Mobile)",House,RALEIGH,UNKNOWN,MT,12,BLK,400.0,0,0
95,THEFT,March,Monday,0,March,Monday,22,1,Islington-City Centre West (14),Commericial / Corporate Areas,Commercial,SC,KNOWN,RG,21,BLK,300.0,0,0
96,THEFT,April,Sunday,12,May,Sunday,22,1,Islington-City Centre West (14),"Private Property Structure (Pool, Shed, Detached Garage)",Other,KONA,UNKNOWN,MT,12,BLU,1200.0,0,14
97,THEFT,June,Friday,11,July,Monday,22,1,Islington-City Centre West (14),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Other,UNKNOWN,RC,10,Unknown Colour,300.0,0,10
98,THEFT,June,Friday,11,July,Monday,22,1,Islington-City Centre West (14),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Other,UNKNOWN,MT,21,Unknown Colour,60.0,0,10
99,THEFT,May,Wednesday,20,July,Sunday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,OT,KNOWN,OT,27,Other,1000.0,0,60
100,THEFT,July,Monday,8,July,Tuesday,22,1,Islington-City Centre West (14),Public Transit Hub,Transit,GI,UNKNOWN,RG,6,BLK,200.0,0,1
101,THEFT,July,Friday,12,July,Monday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,GT,KNOWN,MT,26,BLU,497.0,0,3
102,THEFT,August,Thursday,11,August,Thursday,22,1,Islington-City Centre West (14),Commericial / Corporate Areas,Commercial,KH,KNOWN,MT,7,BLK,0.0,0,0
103,B&E,August,Tuesday,18,August,Sunday,22,1,Islington-City Centre West (14),Commericial / Corporate Areas,Commercial,Other,KNOWN,MT,21,Other,1200.0,0,5
104,THEFT,September,Sunday,12,September,Monday,22,1,Islington-City Centre West (14),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,MA,UNKNOWN,RG,27,GRY,500.0,0,1
105,THEFT,October,Wednesday,19,October,Tuesday,22,1,Islington-City Centre West (14),Commericial / Corporate Areas,Commercial,Other,UNKNOWN,SC,1,BLK,800.0,0,6
106,THEFT,December,Monday,15,December,Monday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,RALEIGH,UNKNOWN,RG,7,BLU,600.0,0,0
107,THEFT,January,Wednesday,18,January,Thursday,22,1,Islington-City Centre West (14),Unknown,Other,UK,KNOWN,OT,25,BLK,900.0,0,1
108,THEFT,May,Sunday,0,May,Wednesday,22,1,Islington-City Centre West (14),"Private Property Structure (Pool, Shed, Detached Garage)",Other,Other,KNOWN,MT,0,WHI,1500.0,0,3
109,THEFT,June,Monday,2,June,Monday,22,1,Islington-City Centre West (14),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,RG,21,BLU,300.0,0,0
110,THEFT,June,Tuesday,21,June,Wednesday,22,1,Islington-City Centre West (14),Bar / Restaurant,Commercial,RA,UNKNOWN,MT,20,Other,600.0,0,1
111,THEFT,July,Friday,0,July,Thursday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,SU,UNKNOWN,RG,15,RED,250.0,0,6
112,THEFT,July,Thursday,0,July,Thursday,22,1,Islington-City Centre West (14),"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,UNKNOWN,RE,15,BLU,400.0,0,0
113,THEFT,July,Thursday,1,July,Saturday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,OT,UNKNOWN,MT,27,BLK,300.0,0,2
114,THEFT,September,Saturday,12,September,Sunday,22,1,Islington-City Centre West (14),Commericial / Corporate Areas,Commercial,Other,UNKNOWN,MT,7,Unknown Colour,500.0,0,1
115,THEFT,September,Tuesday,15,September,Tuesday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,UK,UNKNOWN,RG,21,GRN,200.0,0,0
116,THEFT,October,Saturday,4,October,Sunday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,SU,KNOWN,MT,18,BLK,123.0,0,1
117,THEFT,October,Friday,5,October,Tuesday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,SU,KNOWN,MT,21,BLK,260.0,0,4
118,THEFT,October,Thursday,22,October,Friday,22,1,Islington-City Centre West (14),"Private Property Structure (Pool, Shed, Detached Garage)",Other,GIANT,KNOWN,OT,21,GRY,950.0,0,1
119,THEFT,September,Saturday,0,November,Friday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,CC,UNKNOWN,RG,21,Other,600.0,0,48
120,THEFT,March,Monday,10,April,Wednesday,22,1,Islington-City Centre West (14),Public Transit Hub,Transit,GT,KNOWN,MT,27,BLK,600.0,0,2
121,THEFT,May,Wednesday,17,May,Thursday,22,1,Islington-City Centre West (14),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Other,KNOWN,RG,24,WHI,703.0,0,1
122,THEFT,May,Wednesday,17,May,Thursday,22,1,Islington-City Centre West (14),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Other,KNOWN,RG,24,DBL,589.0,0,1
123,B&E,July,Sunday,20,July,Sunday,22,1,Islington-City Centre West (14),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,KNOWN,MT,18,ONG,160.0,0,0
124,THEFT,July,Thursday,22,July,Saturday,22,1,Islington-City Centre West (14),"Single Home, House (Attach Garage, Cottage, Mobile)",House,SC,KNOWN,RG,1,DBL,300.0,0,2
125,THEFT,July,Wednesday,8,July,Wednesday,22,1,Islington-City Centre West (14),"Single Home, House (Attach Garage, Cottage, Mobile)",House,GT,KNOWN,MT,24,BLK,1129.0,0,0
126,THEFT,July,Wednesday,8,July,Wednesday,22,1,Islington-City Centre West (14),"Single Home, House (Attach Garage, Cottage, Mobile)",House,GT,UNKNOWN,MT,24,GRN,790.0,0,0
127,THEFT,July,Wednesday,8,July,Wednesday,22,1,Islington-City Centre West (14),"Single Home, House (Attach Garage, Cottage, Mobile)",House,GI,KNOWN,MT,24,WHI,960.0,0,0
128,THEFT,August,Sunday,14,August,Thursday,22,1,Islington-City Centre West (14),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,GIANT,KNOWN,MT,1,Other,500.0,0,4
129,THEFT,August,Sunday,12,September,Monday,22,1,Islington-City Centre West (14),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GT,KNOWN,MT,21,BLK,299.0,0,1
130,THEFT,December,Friday,21,December,Monday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,EMMO,UNKNOWN,OT,0,Unknown Colour,400.0,0,3
131,THEFT,March,Thursday,10,March,Tuesday,22,1,Islington-City Centre West (14),Public Transit Hub,Transit,UNKNOWN,UNKNOWN,RG,8,GRN,100.0,0,5
132,THEFT,April,Friday,14,April,Friday,22,1,Islington-City Centre West (14),Public Transit Hub,Transit,RA,KNOWN,MT,23,BLK,850.0,0,0
133,THEFT,May,Tuesday,9,May,Thursday,22,1,Islington-City Centre West (14),Public Transit Hub,Transit,SC,UNKNOWN,MT,8,BLK,950.0,0,9
134,THEFT,May,Thursday,13,May,Friday,22,1,Islington-City Centre West (14),Non-Commerical/Public Areas,Educational,Other,KNOWN,RG,10,BLK,600.0,0,1
135,THEFT,July,Sunday,3,July,Monday,22,1,Islington-City Centre West (14),"Private Property Structure (Pool, Shed, Detached Garage)",Other,Other,KNOWN,TO,18,Unknown Colour,50.0,0,1
136,THEFT,July,Thursday,0,July,Thursday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,UK,UNKNOWN,SC,32,YEL,500.0,0,0
137,THEFT,August,Saturday,14,August,Saturday,22,1,Islington-City Centre West (14),Commericial / Corporate Areas,Commercial,GF,KNOWN,MT,24,GRY,1000.0,0,0
138,THEFT,September,Wednesday,9,October,Thursday,22,1,Islington-City Centre West (14),Commericial / Corporate Areas,Commercial,GI,UNKNOWN,MT,9,GRN,670.0,0,1
139,THEFT,November,Sunday,19,November,Monday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,Other,KNOWN,EL,0,YEL,540.0,0,1
140,THEFT,January,Saturday,12,January,Thursday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,MA,KNOWN,MT,15,GRY,1450.0,0,12
141,THEFT,January,Tuesday,0,January,Monday,22,1,Islington-City Centre West (14),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Other,UNKNOWN,MT,18,GRY,300.0,0,6
142,THEFT,June,Tuesday,9,June,Tuesday,22,1,Islington-City Centre West (14),Public Transit Hub,Transit,OT,KNOWN,OT,3,Other,500.0,0,0
143,THEFT,July,Monday,0,July,Monday,22,1,Islington-City Centre West (14),"Single Home, House (Attach Garage, Cottage, Mobile)",House,GIANT,KNOWN,OT,21,WHI,1000.0,0,0
144,THEFT,July,Monday,12,July,Tuesday,22,1,Islington-City Centre West (14),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,SC,UNKNOWN,MT,7,BLK,350.0,0,1
145,THEFT,July,Monday,0,July,Monday,22,1,Islington-City Centre West (14),"Single Home, House (Attach Garage, Cottage, Mobile)",House,RALEIGH,KNOWN,MT,18,PLE,950.0,1,0
146,THEFT,September,Monday,17,September,Monday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,MA,UNKNOWN,RG,12,SIL,220.0,0,0
147,THEFT,October,Thursday,8,October,Wednesday,22,1,Islington-City Centre West (14),Commericial / Corporate Areas,Commercial,EMMO,UNKNOWN,EL,0,BLK,1500.0,0,6
148,THEFT,October,Tuesday,16,October,Wednesday,22,1,Islington-City Centre West (14),Commericial / Corporate Areas,Commercial,UNKNOWN,UNKNOWN,EL,1,Other,1500.0,0,1
149,THEFT,October,Friday,7,October,Monday,22,1,Islington-City Centre West (14),"Apartment (Rooming House, Condo)",Apartment,GI,KNOWN,MT,21,Unknown Colour,700.0,0,3
150,THEFT,November,Monday,16,November,Monday,22,1,Islington-City Centre West (14),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,KO,KNOWN,MT,21,BLU,800.0,0,0
151,THEFT,June,Sunday,17,June,Sunday,22,1,Islington-City Centre West (14),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Other,UNKNOWN,MT,6,GRY,330.0,0,0
